,threshold,infected_agents
670,0.125,198
671,0.125,198
672,0.125,201
673,0.125,202
674,0.125,205
675,0.125,194
676,0.125,198
677,0.125,203
678,0.125,209
679,0.125,210
680,0.125,212
681,0.125,210
682,0.125,204
683,0.125,205
684,0.125,201
685,0.125,197
686,0.125,191
687,0.125,188
688,0.125,187
689,0.125,187
690,0.125,185
691,0.125,187
692,0.125,187
693,0.125,194
694,0.125,204
695,0.125,204
696,0.125,201
697,0.125,192
698,0.125,190
699,0.125,187
700,0.125,192
701,0.125,191
702,0.125,190
703,0.125,191
704,0.125,191
705,0.125,187
706,0.125,188
707,0.125,184
708,0.125,186
709,0.125,196
710,0.125,201
711,0.125,208
712,0.125,203
713,0.125,208
714,0.125,200
715,0.125,202
716,0.125,204
717,0.125,208
718,0.125,204
719,0.125,204
720,0.125,202
721,0.125,208
722,0.125,200
723,0.125,194
724,0.125,191
725,0.125,195
726,0.125,202
727,0.125,202
728,0.125,204
729,0.125,207
730,0.125,206
731,0.125,201
732,0.125,205
733,0.125,209
734,0.125,197
735,0.125,195
736,0.125,200
737,0.125,201
738,0.125,201
739,0.125,193
740,0.125,190
741,0.125,194
742,0.125,199
743,0.125,196
744,0.125,193
745,0.125,196
746,0.125,201
747,0.125,200
748,0.125,209
749,0.125,204
750,0.125,199
751,0.125,194
752,0.125,192
753,0.125,202
754,0.125,202
755,0.25,113
756,0.25,147
757,0.25,172
758,0.25,190
759,0.25,201
760,0.25,211
761,0.25,219
762,0.25,226
763,0.25,232
764,0.25,238
765,0.25,240
766,0.25,244
767,0.25,245
768,0.25,247
769,0.25,166
770,0.25,162
771,0.25,159
772,0.25,166
773,0.25,177
774,0.25,183
775,0.25,197
776,0.25,207
777,0.25,208
778,0.25,209
779,0.25,223
780,0.25,227
781,0.25,228
782,0.25,233
783,0.25,211
784,0.25,199
785,0.25,194
786,0.25,186
787,0.25,187
788,0.25,188
789,0.25,184
790,0.25,195
791,0.25,199
792,0.25,209
793,0.25,202
794,0.25,202
795,0.25,211
796,0.25,214
797,0.25,212
798,0.25,204
799,0.25,202
800,0.25,202
801,0.25,196
802,0.25,192
803,0.25,191
804,0.25,181
805,0.25,188
806,0.25,190
807,0.25,191
808,0.25,192
809,0.25,195
810,0.25,199
811,0.25,203
812,0.25,204
813,0.25,202
814,0.25,203
815,0.25,200
816,0.25,197
817,0.25,191
818,0.25,195
819,0.25,194
820,0.25,193
821,0.25,200
822,0.25,204
823,0.25,205
824,0.25,209
825,0.25,212
826,0.25,211
827,0.25,211
828,0.25,208
829,0.25,205
830,0.25,206
831,0.25,211
832,0.25,205
833,0.25,208
834,0.25,207
835,0.25,205
836,0.25,203
837,0.25,198
838,0.25,194
839,0.25,196
840,0.25,203
841,0.25,208
842,0.25,207
843,0.25,212
844,0.25,212
845,0.25,206
846,0.25,204
847,0.25,196
848,0.25,196
849,0.25,191
850,0.25,196
851,0.25,199
852,0.25,202
853,0.25,202
854,0.25,193
855,0.25,192
856,0.25,193
857,0.25,198
858,0.25,197
859,0.25,201
860,0.25,199
861,0.25,206
862,0.25,200
863,0.25,204
864,0.25,206
865,0.25,202
866,0.25,196
867,0.25,194
868,0.25,201
869,0.25,194
870,0.25,198
871,0.25,196
872,0.25,197
873,0.25,195
874,0.25,198
875,0.25,200
876,0.25,201
877,0.25,203
878,0.25,201
879,0.25,211
880,0.25,209
881,0.25,210
882,0.25,214
883,0.25,212
884,0.25,205
885,0.25,206
886,0.25,209
887,0.25,210
